32   0.0 0.0 0
33 ! 0.458984375 0.46142578125 6
34 " 0.57763671875 0.58251953125 10
35 # 0.4736328125 0.4814453125 17
36 $ 0.48193359375 0.48828125 14
37 % 0.48876953125 0.49755859375 20
38 & 0.49853515625 0.5078125 19
39 ' 0.58251953125 0.5849609375 5
40 ( 0.513671875 0.517578125 8
41 ) 0.517578125 0.52197265625 9
42 * 0.5078125 0.513671875 12
43 + 0.5322265625 0.53955078125 15
44 , 0.59765625 0.60107421875 7
45 - 0.52197265625 0.52587890625 8
46 . 0.60107421875 0.607421875 6
47 / 0.6142578125 0.61962890625 12
48 0 0.43896484375 0.44580078125 15
49 1 0.375 0.3818359375 14
50 2 0.3818359375 0.388671875 14
51 3 0.388671875 0.39599609375 15
52 4 0.39599609375 0.4033203125 15
53 5 0.4033203125 0.41064453125 15
54 6 0.41064453125 0.41796875 15
55 7 0.41796875 0.4248046875 14
56 8 0.4248046875 0.431640625 14
57 9 0.431640625 0.43896484375 15
58 : 0.57080078125 0.57470703125 7
59 ; 0.57470703125 0.57763671875 6
60 < 0.5849609375 0.59130859375 13
61 = 0.53955078125 0.54638671875 14
62 > 0.59130859375 0.59765625 13
63 ? 0.60791015625 0.6142578125 13
64 @ 0.4619140625 0.47314453125 24
65 A 0.0 0.0087890625 18
66 B 0.0087890625 0.0166015625 16
67 C 0.0166015625 0.0244140625 16
68 D 0.0244140625 0.03271484375 17
69 E 0.03271484375 0.0400390625 15
70 F 0.0400390625 0.04736328125 15
71 G 0.04736328125 0.0556640625 17
72 H 0.0556640625 0.06494140625 19
73 I 0.06494140625 0.06787109375 6
74 J 0.06787109375 0.07568359375 16
75 K 0.07568359375 0.08349609375 16
76 L 0.08349609375 0.09033203125 14
77 M 0.09033203125 0.10107421875 22
78 N 0.10107421875 0.109375 17
79 O 0.109375 0.1181640625 18
80 P 0.1181640625 0.12646484375 17
81 Q 0.12646484375 0.13525390625 18
82 R 0.13525390625 0.14306640625 16
83 S 0.14306640625 0.150390625 15
84 T 0.150390625  0.158203125 16
85 U 0.158203125 0.166015625 16
86 V 0.166015625 0.1748046875 18
87 W 0.1748046875 0.185546875 22
88 X 0.185546875 0.193359375 16
89 Y 0.193359375 0.201171875 16
90 Z 0.201171875 0.20849609375 15
91 [ 0.55517578125 0.55859375 7
92 \ 0.5693359375 0.5751953125 13
93 ] 0.55859375 0.5625 8
94 ^ 0.498046875 0.50341796875 12
95 _ 0.0 0.0 0
96 ` 0.45458984375 0.45849609375 9
97 a 0.20849609375 0.21533203125 14
98 b 0.21533203125 0.22265625 15
99 c 0.22265625 0.2294921875 14
100 d 0.22900390625 0.23583984375 15
101 e 0.23583984375 0.24267578125 14
102 f 0.24267578125 0.24755859375 10
103 g 0.24755859375 0.25439453125 14
104 h 0.25439453125 0.26171875 15
105 i 0.26171875 0.26416015625 5
106 j 0.26416015625 0.26806640625 8
107 k 0.26806640625 0.27490234375 14
108 l 0.27490234375 0.2783203125 7
109 m 0.2783203125 0.2890625 22
110 n 0.2890625 0.2958984375 14
111 o 0.2958984375 0.30322265625 15
112 p 0.30322265625 0.31005859375 14
113 q 0.31005859375 0.3173828125 15
114 r 0.3173828125 0.322265625 10
115 s 0.322265625 0.328125 12
116 t 0.328125 0.3330078125 10
117 u 0.3330078125 0.33935546875 13
118 v 0.33935546875 0.3466796875 15
119 w 0.3466796875 0.35546875 18
120 x 0.35546875 0.3623046875 14
121 y 0.3623046875 0.36865234375 13
122 z 0.36865234375 0.375 13
123 { 0.54638671875 0.55078125 9
124 | 0.5625 0.56494140625 5
125 } 0.55078125 0.55517578125 9
126 ~ 0.4462890625 0.4541015625 18
